NAMA KABUPATEN;NAMA KECAMATAN;NAMA DESA;IKS 2023;IKE 2023;IKL 2023;NILAI IDM 2023;STATUS IDM 2023;TARGET IDM 2024;KETERANGAN;KEGIATAN YANG DAPAT DILAKUKAN
JEMBER;SUMBERBARU;JAMBESARI;0.6743;0.5833;667;0.7081;MAJU;MANDIRI;Jumlah Bahasa yang digunakan sehari-hari 1;Review Jumlah Bahasa yang digunakan di Desa
;;;;;;;;;Jumlah tenaga kesehatan lainnya 2 orang;Penambahan Nakes Min 3 Org
;;;;;;;;;Jumlah peserta BPJS/jumlah penduduk antara 0,26 s.d 0,5;Fasilitasi kepesertaan BPJS warga Desa hingga > 75%
;;;;;;;;;Jarak tempuh menuju SMU atau SMK > 12000 Meter;Pembangunan SMU
;;;;;;;;;Jumlah Pusat Keterampilan atau Kursus Tidak ada;Pengadaan Tempat Kursus/Pelatihan
;;;;;;;;;Taman Bacaan Masyarakat atau perpustakaan Desa tidak tersedia;Pembangunan PerpusDes/Taman Bacaan Mayarakat
;;;;;;;;;Ruang Publik tidak terdapat didesa;Pembangunan Ruang Publik
;;;;;;;;;Jumlah kelompok kegiatan olahraga tidak ada;Penambahan minila 8 kel OR
;;;;;;;;;Jumlah kegiatan olahraga tidak ada;Pembangunan Lapangan Olah Raga Min 8 Unit
;;;;;;;;;Jumlah Jenis Agama di Desa terdapat 1;Pendataan Jenis Agama Penduduk Desa
;;;;;;;;;Jumlah Skor SLB antara 4 s.d 5;Penanganan SLB
;;;;;;;;;Sinyal telepon seluler di Desa Lemah;Fasilitasi Upaya Penguatan Sinyal Telp
;;;;;;;;;Jumlah Dokter Tidak ada;Pengadaan Min 1 org Dokter
;;;;;;;;;Tidak terdapat atau belum ada Fasilitas Internet di Kantor Desa;Pemasangan Internet Kantor Desa
;;;;;;;;;Sumber air mandi dan cuci berasal dari Kemasan, Mata Air;Pemasangan PDAM/Air Ledeng Tanpa Meteran
;;;;;;;;;Jumlah Industri Mikro/ Jumlah KK <0,001;Peningkatan Jumlah Industri Mikro/UKM hingga >=0,4% jumlah KK di Desa
;;;;;;;;;(Total KK/jumlah pasar(permanen)) = 0;Pembangunan Pasar Permanen
;;;;;;;;;Jumlah Kedai dan Penginapan = 1;Pembangunan 1 Unit Penginapan
;;;;;;;;;Jumlah pos dan jasa logistik = 1;Pembangunan/Pengadaan Jasa logistik / kantor Pos (Identifikasi yang tidak ada)
;;;;;;;;;Jumlah bank dan BPR = 0;Fasilitasi Pembangunan Bank Pemerintah, Swasta &/ BPR
;;;;;;;;;Jumlah fasilitas kredit = 2;Penambahan 2 jenis Fasilitas Kredit (KUR/KKPE/KUK/Kredit lainnya)(Identifikasi kekurangan akses kredit)
;;;;;;;;;Jumlah koperasi aktif dan BUMDESA = 1;Pembangunan 1 unit Koperasi / BUMDES (Identifikasi yang tidak ada di desa)
;;;;;;;;;Transportasi Umum tidak ada;Fasilitasi Pengadaan Transportasi Umum dengan Trayek Tetap
;;;;;;;;;Pencemaran (air, udara, tanah, limbah disungai) di desa [jumlah pencemaran/4] = 0,25;Identifikasi dan Penanganan 1 Jenis Pencemaran (air, udara, tanah, limbah disungai) di desa
;;;;;;;;;Jenis bencana (longsor, banjir, kebakaran hutan) jenis bencana di desa = 1;Identifikasi 1 Jenis bencana (longsor, banjir, kebakaran hutan) untuk penanganan pencegahan
;;;;;;;;;Warga desa membuang sampah di Sungai, Saluran Irigasi, Danau, Laut, Got, Selokan ;Warga desa membuang sampah di Sungai, Saluran Irigasi, Danau, Laut, Got, Selokan 
JEMBER;TEMPUREJO;CURAHTAKIR;0.7943;0.55;0.8;0.7148;MAJU;MANDIRI;Warga desa membuang sampah di Lubang atau di Bakar;Pembangunan TPS danTPA Sampah 
;;;;;;;;;Jumlah Skor SLB antara 4 s.d 5;Penanganan SLB
;;;;;;;;;Jumlah koperasi aktif dan BUMDESA = 1;Pembangunan 1 unit Koperasi / BUMDES (Identifikasi yang tidak ada di desa)
;;;;;;;;;Jarak tempuh menuju Poskesdes > 3500 Meter;Pembangunan Poskesdes
;;;;;;;;;Jumlah peserta BPJS/jumlah penduduk antara 0,1 s.d 0,25;Fasilitasi kepesertaan BPJS warga Desa hingga > 75%
;;;;;;;;;Jumlah tenaga kesehatan lainnya 3 s.d 4 orang;Penambahan Nakes Min 2 Org
;;;;;;;;;Jumlah Dokter Tidak ada;Pengadaan Min 1 org Dokter
;;;;;;;;;Taman Bacaan Masyarakat atau perpustakaan Desa tidak tersedia;Pembangunan PerpusDes/Taman Bacaan Mayarakat
;;;;;;;;;Transportasi Umum tidak ada;Fasilitasi Pengadaan Transportasi Umum dengan Trayek Tetap
;;;;;;;;;Ruang Publik tidak terdapat didesa;Pembangunan Ruang Publik
;;;;;;;;;Jumlah fasilitas kredit = 0;Penambahan 4 jenis Fasilitas Kredit (KUR/KKPE/KUK/Kredit lainnya)
;;;;;;;;;Jumlah kelompok kegiatan olahraga antara 6 s.d 7 ;Penambahan Min 2 Kelp Olahraga
;;;;;;;;;Jumlah PKBM atau Paket ABC Tidak ada;Pelaksanaan Kegiatan PKBM/Kejar Paket A B C
;;;;;;;;;Jumlah PMKS ada 1 ;Identifikasi dan Penanganan PMKS
;;;;;;;;;Jenis bencana (longsor, banjir, kebakaran hutan) jenis bencana di desa = 1;Identifikasi 1 Jenis bencana (longsor, banjir, kebakaran hutan) untuk penanganan pencegahan
;;;;;;;;;Jumlah bank dan BPR = 0;Fasilitasi Pembangunan Bank Pemerintah, Swasta &/ BPR
;;;;;;;;;Jumlah pos dan jasa logistik = 1;Pembangunan/Pengadaan Jasa logistik / kantor Pos (Identifikasi yang tidak ada)
;;;;;;;;;Jumlah Kedai dan Penginapan = 1;Pembangunan 1 Unit Penginapan
;;;;;;;;;(Total KK/jumlah pasar(permanen)) antara 0,001 s.d 250;Optimalisasi Pasar
;;;;;;;;;Jarak ke kelompok pertokoan terdekat > 25 KM;Pembangunan Pusat pertokoan melalui kerjasama antar desa/melayani beberapa desa
;;;;;;;;;Jumlah Industri Mikro/ Jumlah KK antara 0,001 s.d 0,003;Peningkatan Jumlah Industri Mikro/UKM hingga >=0,4% jumlah KK di Desa
;;;;;;;;;Sumber air mandi dan cuci berasal dari Sumur Bor/pompa, Sumur;Pemasangan PDAM/Air Ledeng Tanpa Meteran
;;;;;;;;;Sumber air minum berasal dari Sumur Bor/pompa, Sumur;Pemasangan PDAM/Air Ledeng Tanpa Meteran
;;;;;;;;;Fasilitas mitigasi/tanggap bencana (peringatan dini bencana alam, peringatan dini tsunami, perlengkapan keselamatan, jalur evakuasi) jumlah fasilitas mitigasi / tanggap bencana = 1;Pembangunan/Pengadaan 2 Fasilitas Mitigasi Bencana Sesuai karakteristik wilayah (Kebutuhan sesuai hasil identifikasi kerawanan/potensi bencana)
;;;;;;;;;Jumlah Pusat Keterampilan atau Kursus Tidak ada;Pengadaan Tempat Kursus/Pelatihan
JEMBER;TEMPUREJO;PONDOKREJO;0.8;0.55;0.8;0.7167;MAJU;MANDIRI;Jumlah fasilitas kredit = 3;Penambahan 1 jenis Fasilitas Kredit (KUR/KKPE/KUK/Kredit lainnya)(Identifikasi kekurangan akses kredit)
;;;;;;;;;Jumlah Pusat Keterampilan atau Kursus Tidak ada;Pengadaan Tempat Kursus/Pelatihan
;;;;;;;;;Jumlah PKBM atau Paket ABC Tidak ada;Pelaksanaan Kegiatan PKBM/Kejar Paket A B C
;;;;;;;;;Jarak tempuh menuju SMU atau SMK antara 6000,01 s.d 8000 Meter;Perbaikan Akses
;;;;;;;;;Jarak tempuh menuju Poskesdes 501 s.d 1000 Meter;Penambahan Nakes Min 2 Org
;;;;;;;;;Transportasi Umum tidak ada;Fasilitasi Pengadaan Transportasi Umum dengan Trayek Tetap
;;;;;;;;;Jumlah Dokter Tidak ada;Pengadaan Min 1 org Dokter
;;;;;;;;;Jumlah kelompok kegiatan olahraga 2 s.d 3;Penambahan Min 6 Kelp Olahraga
;;;;;;;;;Ruang Publik tidak terdapat didesa;Pembangunan Ruang Publik
