NAMA KABUPATEN;NAMA KECAMATAN;NAMA DESA;IKS 2023;IKE 2023;IKL 2023;NILAI IDM 2023;STATUS IDM 2023;TARGET IDM 2024;KETERANGAN;KEGIATAN YANG DAPAT DILAKUKAN
MALANG;SUMBERMANJING WETAN;RINGINKEMBAR;0.7886;0.6667;0.6667;0.7073;MAJU;MANDIRI;Warga Desa terdapat 1 Suku;Pendataan Jumlah Suku yang ada didesa
;;;;;;;;;Transportasi Umum ada tanpa trayek tetap;Fasilitasi Transportasi Umum dengan Trayek Tetap
;;;;;;;;;Jumlah koperasi aktif dan BUMDESA = 0;Pembangunan Koperasi dan BUMDES = 0
;;;;;;;;;Jumlah fasilitas kredit = 1;Penambahan 3 jenis Fasilitas Kredit (KUR/KKPE/KUK/Kredit lainnya)(Identifikasi kekurangan akses kredit)
;;;;;;;;;Jumlah bank dan BPR = 0;Fasilitasi Pembangunan Bank Pemerintah, Swasta &/ BPR
;;;;;;;;;Jumlah Kedai dan Penginapan = 1;Pembangunan 1 Unit Penginapan
;;;;;;;;;Jumlah Dokter Tidak ada;Pengadaan Min 1 org Dokter
;;;;;;;;;Jumlah tenaga kesehatan lainnya 1 orang;Penambahan Nakes Min 4 Org
;;;;;;;;;Jumlah peserta BPJS/jumlah penduduk antara 0,26 s.d 0,5;Fasilitasi kepesertaan BPJS warga Desa hingga > 75%
;;;;;;;;;Jumlah PAUD Tidak ada;Pembangunan 1 Unit PAUD
;;;;;;;;;Jumlah PKBM atau Paket ABC Tidak ada;Pelaksanaan Kegiatan PKBM/Kejar Paket A B C
;;;;;;;;;Jumlah Pusat Keterampilan atau Kursus Tidak ada;Pengadaan Tempat Kursus/Pelatihan
;;;;;;;;;Jumlah kelompok kegiatan olahraga antara 4 s.d 5;Penambahan Min 4 Kelp Olahraga
;;;;;;;;;Jumlah kegiatan olahraga antara 4 s.d 5;Pembangunan Min 4 Lap Olahraga
;;;;;;;;;(Total KK/jumlah pasar(permanen)) = 0;Pembangunan Pasar Permanen
;;;;;;;;;Tidak terdapat Sistem Keamanan Lingkungan warga di Desa;Mengaktifkan Siskamling
;;;;;;;;;Fasilitas mitigasi/tanggap bencana (peringatan dini bencana alam, peringatan dini tsunami, perlengkapan keselamatan, jalur evakuasi) jumlah fasilitas mitigasi / tanggap bencana = 0;Pembangunan/Pengadaan 3 Fasilitas Mitigasi Bencana Sesuai karakteristik wilayah (Kebutuhan sesuai hasil identifikasi kerawanan/potensi bencana)
;;;;;;;;;Jumlah Skor SLB antara 4 s.d 5;Penanganan SLB
;;;;;;;;;Warga desa membuang sampah di Lubang atau di Bakar;Pembangunan TPS danTPA Sampah 
MALANG;TUMPANG;NGINGIT;0.84;0.6167;0.6667;0.7078;MAJU;MANDIRI;Jumlah kelompok kegiatan olahraga antara 4 s.d 5;Penambahan Min 4 Kelp Olahraga
;;;;;;;;;Jumlah kegiatan olahraga 2 s.d 3;Pembangunan Min 6 Lap Olahraga
;;;;;;;;;Jumlah Pusat Keterampilan atau Kursus Tidak ada;Pengadaan Tempat Kursus/Pelatihan
;;;;;;;;;Jumlah PMKS ada 1 ;Identifikasi dan Penanganan PMKS
;;;;;;;;;Jumlah PKBM atau Paket ABC Tidak ada;Pelaksanaan Kegiatan PKBM/Kejar Paket A B C
;;;;;;;;;Jumlah peserta BPJS/jumlah penduduk antara 0,26 s.d 0,5;Fasilitasi kepesertaan BPJS warga Desa hingga > 75%
;;;;;;;;;Jumlah tenaga kesehatan lainnya 2 orang;Penambahan Nakes Min 3 Org
;;;;;;;;;Jumlah Skor SLB antara 4 s.d 5;Penanganan SLB
;;;;;;;;;Jumlah Jenis Agama di Desa terdapat 1;Pendataan Jenis Agama Penduduk Desa
;;;;;;;;;Fasilitas mitigasi/tanggap bencana (peringatan dini bencana alam, peringatan dini tsunami, perlengkapan keselamatan, jalur evakuasi) jumlah fasilitas mitigasi / tanggap bencana = 0;Pembangunan/Pengadaan 3 Fasilitas Mitigasi Bencana Sesuai karakteristik wilayah (Kebutuhan sesuai hasil identifikasi kerawanan/potensi bencana)
;;;;;;;;;Jumlah fasilitas kredit = 3;Penambahan 1 jenis Fasilitas Kredit (KUR/KKPE/KUK/Kredit lainnya)(Identifikasi kekurangan akses kredit)
;;;;;;;;;Jumlah bank dan BPR = 0;Fasilitasi Pembangunan Bank Pemerintah, Swasta &/ BPR
;;;;;;;;;Jumlah pos dan jasa logistik = 0;Pembangunan Jasa Logistik dan Kantor Pos
;;;;;;;;;Jumlah Kedai dan Penginapan = 1;Pembangunan 1 Unit Penginapan
;;;;;;;;;(Total KK/jumlah pasar(permanen)) = 0;Pembangunan Pasar Permanen
;;;;;;;;;Jarak ke kelompok pertokoan terdekat > 25 KM;Pembangunan Pusat pertokoan melalui kerjasama antar desa/melayani beberapa desa
;;;;;;;;;Tidak terdapat atau belum ada Fasilitas Internet di Kantor Desa;Pemasangan Internet Kantor Desa
;;;;;;;;;Jumlah koperasi aktif dan BUMDESA = 1;Pembangunan 1 unit Koperasi / BUMDES (Identifikasi yang tidak ada di desa)
MALANG;DONOMULYO;BANJAREJO;0.7429;0.7167;0.6667;0.7087;MAJU;MANDIRI;Jumlah Dokter Tidak ada;Pengadaan Min 1 org Dokter
;;;;;;;;;Fasilitas mitigasi/tanggap bencana (peringatan dini bencana alam, peringatan dini tsunami, perlengkapan keselamatan, jalur evakuasi) jumlah fasilitas mitigasi / tanggap bencana = 0;Pembangunan/Pengadaan 3 Fasilitas Mitigasi Bencana Sesuai karakteristik wilayah (Kebutuhan sesuai hasil identifikasi kerawanan/potensi bencana)
;;;;;;;;;Jumlah tenaga kesehatan lainnya tidak ada;Pengadaan Nakes Min 5  Org
;;;;;;;;;Jumlah fasilitas kredit = 2;Penambahan 2 jenis Fasilitas Kredit (KUR/KKPE/KUK/Kredit lainnya)(Identifikasi kekurangan akses kredit)
;;;;;;;;;Jumlah peserta BPJS/jumlah penduduk antara 0,6 s.d 0,75;Fasilitasi kepesertaan BPJS warga Desa hingga > 75%
;;;;;;;;;Jarak tempuh menuju Poskesdes 501 s.d 1000 Meter;Fasilitasi kepesertaan BPJS warga Desa hingga > 75%
;;;;;;;;;Jarak tempuh menuju SMU atau SMK > 12000 Meter;Pembangunan SMU
;;;;;;;;;Jumlah PKBM atau Paket ABC Tidak ada;Pelaksanaan Kegiatan PKBM/Kejar Paket A B C
;;;;;;;;;Jumlah Pusat Keterampilan atau Kursus Tidak ada;Pengadaan Tempat Kursus/Pelatihan
;;;;;;;;;Transportasi Umum ada tanpa trayek tetap;Fasilitasi Transportasi Umum dengan Trayek Tetap
;;;;;;;;;Ruang Publik tidak terdapat didesa;Pembangunan Ruang Publik
;;;;;;;;;Jumlah kelompok kegiatan olahraga antara 6 s.d 7 ;Penambahan Min 2 Kelp Olahraga
;;;;;;;;;Jumlah kegiatan olahraga antara 6 s.d 7 ;Pembangunan Min 2 Lap Olahraga
;;;;;;;;;Taman Bacaan Masyarakat atau perpustakaan Desa tidak tersedia;Pembangunan PerpusDes/Taman Bacaan Mayarakat
;;;;;;;;;Warga Desa terdapat 1 Suku;Pendataan Jumlah Suku yang ada didesa
;;;;;;;;;Jumlah Skor SLB antara 4 s.d 5;Penanganan SLB
;;;;;;;;;Warga desa membuang sampah di Lubang atau di Bakar;Pembangunan TPS danTPA Sampah 
;;;;;;;;;Jumlah Kedai dan Penginapan = 1;Pembangunan 1 Unit Penginapan
;;;;;;;;;Jumlah pos dan jasa logistik = 0;Pembangunan Jasa Logistik dan Kantor Pos
;;;;;;;;;Jumlah bank dan BPR = 1;Fasilitasi Pembangunan Bank Swasta/BPR
;;;;;;;;;Jumlah Bahasa yang digunakan sehari-hari 1;Review Jumlah Bahasa yang digunakan di Desa
;;;;;;;;;Jarak ke kelompok pertokoan terdekat > 25 KM;Pembangunan Pusat pertokoan melalui kerjasama antar desa/melayani beberapa desa
MALANG;KALIPARE;SUMBERPETUNG;0.7943;0.6667;0.6667;0.7092;MAJU;MANDIRI;Jumlah PMKS ada 1 ;Identifikasi dan Penanganan PMKS
;;;;;;;;;Jumlah kegiatan olahraga antara 4 s.d 5;Pembangunan Min 4 Lap Olahraga
;;;;;;;;;Waktu tempuh antara 31 s.d 60 Menit;Pembangunan/Pengadaan 2 Fasilitas Mitigasi Bencana Sesuai karakteristik wilayah (Kebutuhan sesuai hasil identifikasi kerawanan/potensi bencana)
;;;;;;;;;Jumlah kelompok kegiatan olahraga antara 4 s.d 5;Penambahan Min 4 Kelp Olahraga
;;;;;;;;;Jumlah Pusat Keterampilan atau Kursus Tidak ada;Pengadaan Tempat Kursus/Pelatihan
;;;;;;;;;Jumlah PKBM atau Paket ABC Tidak ada;Pelaksanaan Kegiatan PKBM/Kejar Paket A B C
;;;;;;;;;Jarak tempuh menuju Poskesdes = 2001 s.d 3500 Meter;Fasilitasi kepesertaan BPJS warga Desa hingga > 75%
;;;;;;;;;Jumlah peserta BPJS/jumlah penduduk antara 0,26 s.d 0,5;Fasilitasi kepesertaan BPJS warga Desa hingga > 75%
;;;;;;;;;Jumlah Dokter Tidak ada;Pengadaan Min 1 org Dokter
;;;;;;;;;Jumlah pos dan jasa logistik = 0;Pembangunan Jasa Logistik dan Kantor Pos
;;;;;;;;;Jumlah bank dan BPR = 0;Fasilitasi Pembangunan Bank Pemerintah, Swasta &/ BPR
;;;;;;;;;Jumlah Kedai dan Penginapan = 1;Pembangunan 1 Unit Penginapan
;;;;;;;;;Sumber air mandi dan cuci berasal dari Sumur Bor/pompa, Sumur;Pemasangan PDAM/Air Ledeng Tanpa Meteran
;;;;;;;;;Jalan di Desa dilalui oleh kendaraan bermotor roda empat atau lebih Sepanjang tahun kecuali saat tertentu;Perbaikan dan Peningkatan Kualitas jalan desa
;;;;;;;;;Transportasi Umum ada tanpa trayek tetap;Fasilitasi Transportasi Umum dengan Trayek Tetap
;;;;;;;;;Fasilitas mitigasi/tanggap bencana (peringatan dini bencana alam, peringatan dini tsunami, perlengkapan keselamatan, jalur evakuasi) jumlah fasilitas mitigasi / tanggap bencana = 0;Pembangunan/Pengadaan 3 Fasilitas Mitigasi Bencana Sesuai karakteristik wilayah (Kebutuhan sesuai hasil identifikasi kerawanan/potensi bencana)
;;;;;;;;;Sumber air minum berasal dari Sumur Bor/pompa, Sumur;Pemasangan PDAM/Air Ledeng Tanpa Meteran
;;;;;;;;;Warga desa membuang sampah di Lubang atau di Bakar;Pembangunan TPS danTPA Sampah 
;;;;;;;;;Sinyal telepon seluler di Desa Lemah;Fasilitasi Upaya Penguatan Sinyal Telp
;;;;;;;;;Jumlah Skor SLB antara 4 s.d 5;Penanganan SLB
;;;;;;;;;Jumlah tenaga kesehatan lainnya tidak ada;Pengadaan Nakes Min 5  Org
;;;;;;;;;Jumlah fasilitas kredit = 0;Penambahan 4 jenis Fasilitas Kredit (KUR/KKPE/KUK/Kredit lainnya)
MALANG;DAMPIT;SRIMULYO;0.8114;0.5167;0.8;0.7094;MAJU;MANDIRI;Jumlah pos dan jasa logistik = 0;Pembangunan Jasa Logistik dan Kantor Pos
;;;;;;;;;Jenis permukaan jalan desa Diperkeras (kerikil, batu dan lain-lain);Peningkatan Kualitas Jalan desa (Aspal/Beton)
;;;;;;;;;Transportasi Umum ada tanpa trayek tetap;Fasilitasi Transportasi Umum dengan Trayek Tetap
;;;;;;;;;Jumlah fasilitas kredit = 0;Penambahan 4 jenis Fasilitas Kredit (KUR/KKPE/KUK/Kredit lainnya)
;;;;;;;;;Jumlah bank dan BPR = 0;Fasilitasi Pembangunan Bank Pemerintah, Swasta &/ BPR
;;;;;;;;;Jumlah Kedai dan Penginapan = 1;Pembangunan 1 Unit Penginapan
;;;;;;;;;Fasilitas mitigasi/tanggap bencana (peringatan dini bencana alam, peringatan dini tsunami, perlengkapan keselamatan, jalur evakuasi) jumlah fasilitas mitigasi / tanggap bencana = 1;Pembangunan/Pengadaan 2 Fasilitas Mitigasi Bencana Sesuai karakteristik wilayah (Kebutuhan sesuai hasil identifikasi kerawanan/potensi bencana)
;;;;;;;;;Jarak ke kelompok pertokoan terdekat > 25 KM;Pembangunan Pusat pertokoan melalui kerjasama antar desa/melayani beberapa desa
;;;;;;;;;Jumlah Industri Mikro/ Jumlah KK antara 0,001 s.d 0,003;Peningkatan Jumlah Industri Mikro/UKM hingga >=0,4% jumlah KK di Desa
;;;;;;;;;Jumlah Skor SLB antara 4 s.d 5;Penanganan SLB
;;;;;;;;;Jumlah PMKS ada 1 ;Identifikasi dan Penanganan PMKS
;;;;;;;;;Jumlah kegiatan olahraga antara 6 s.d 7 ;Pembangunan Min 2 Lap Olahraga
;;;;;;;;;Jumlah kelompok kegiatan olahraga 2 s.d 3;Penambahan Min 6 Kelp Olahraga
;;;;;;;;;Jumlah Pusat Keterampilan atau Kursus Tidak ada;Pengadaan Tempat Kursus/Pelatihan
;;;;;;;;;Jarak tempuh menuju SMU atau SMK > 12000 Meter;Pembangunan SMU
;;;;;;;;;Jarak tempuh menuju Poskesdes > 3500 Meter;Pembangunan Poskesdes
