NAMA KABUPATEN;NAMA KECAMATAN;NAMA DESA;IKS 2023;IKE 2023;IKL 2023;NILAI IDM 2023;STATUS IDM 2023;TARGET IDM 2024;KETERANGAN;KEGIATAN YANG DAPAT DILAKUKAN
SIDOARJO;TARIK;GAMPINGROWO;0.7829;0.4333;0.6;0.6054;BERKEMBANG;MAJU;Sumber air minum berasal dari Sumur Bor/pompa, Sumur;Pemasangan PDAM/Air Ledeng Tanpa Meteran
;;;;;;;;;Jumlah tenaga kesehatan lainnya 2 orang;Penambahan Nakes Min 3 Org
;;;;;;;;;Jarak tempuh menuju SMP atau MTs > 12000 Meter;Pembangunan SMP
;;;;;;;;;Jarak tempuh menuju SMU atau SMK > 12000 Meter;Pembangunan SMU
;;;;;;;;;Jumlah PKBM atau Paket ABC Tidak ada;Pelaksanaan Kegiatan PKBM/Kejar Paket A B C
;;;;;;;;;Jumlah Pusat Keterampilan atau Kursus Tidak ada;Pengadaan Tempat Kursus/Pelatihan
;;;;;;;;;Jumlah kelompok kegiatan olahraga 2 s.d 3;Penambahan Min 6 Kelp Olahraga
;;;;;;;;;Jumlah kegiatan olahraga 2 s.d 3;Pembangunan Min 6 Lap Olahraga
;;;;;;;;;Warga Desa terdapat 1 Suku;Pendataan Jumlah Suku yang ada didesa
;;;;;;;;;Jumlah Skor SLB antara 4 s.d 5;Penanganan SLB
;;;;;;;;;Warga desa membuang sampah di Lubang atau di Bakar;Pembangunan TPS danTPA Sampah 
;;;;;;;;;Jumlah Dokter Tidak ada;Pengadaan Min 1 org Dokter
;;;;;;;;;Fasilitas mitigasi/tanggap bencana (peringatan dini bencana alam, peringatan dini tsunami, perlengkapan keselamatan, jalur evakuasi) jumlah fasilitas mitigasi / tanggap bencana = 0;Pembangunan/Pengadaan 3 Fasilitas Mitigasi Bencana Sesuai karakteristik wilayah (Kebutuhan sesuai hasil identifikasi kerawanan/potensi bencana)
;;;;;;;;;Jumlah Industri Mikro/ Jumlah KK <0,001;Peningkatan Jumlah Industri Mikro/UKM hingga >=0,4% jumlah KK di Desa
;;;;;;;;;Jarak ke kelompok pertokoan terdekat > 25 KM;Pembangunan Pusat pertokoan melalui kerjasama antar desa/melayani beberapa desa
;;;;;;;;;(Total KK/jumlah pasar(permanen)) = 0;Pembangunan Pasar Permanen
;;;;;;;;;Jumlah Kedai dan Penginapan = 1;Pembangunan 1 Unit Penginapan
;;;;;;;;;Jumlah pos dan jasa logistik = 0;Pembangunan Jasa Logistik dan Kantor Pos
;;;;;;;;;Jumlah bank dan BPR = 0;Fasilitasi Pembangunan Bank Pemerintah, Swasta &/ BPR
;;;;;;;;;Jumlah fasilitas kredit = 0;Penambahan 4 jenis Fasilitas Kredit (KUR/KKPE/KUK/Kredit lainnya)
;;;;;;;;;Jumlah koperasi aktif dan BUMDESA = 1;Pembangunan 1 unit Koperasi / BUMDES (Identifikasi yang tidak ada di desa)
;;;;;;;;;Transportasi Umum tidak ada;Fasilitasi Pengadaan Transportasi Umum dengan Trayek Tetap
;;;;;;;;;Pencemaran (air, udara, tanah, limbah disungai) di desa [jumlah pencemaran/4] = 0,25;Identifikasi dan Penanganan 1 Jenis Pencemaran (air, udara, tanah, limbah disungai) di desa
;;;;;;;;;Sumber air mandi dan cuci berasal dari Sumur Bor/pompa, Sumur;Pemasangan PDAM/Air Ledeng Tanpa Meteran
SIDOARJO;JABON;BALONGTANI;0.8171;0.5333;0.4667;0.6057;BERKEMBANG;MAJU;Jumlah pos dan jasa logistik = 0;Pembangunan Jasa Logistik dan Kantor Pos
;;;;;;;;;Jumlah Kedai dan Penginapan = 1;Pembangunan 1 Unit Penginapan
;;;;;;;;;Jenis bencana (longsor, banjir, kebakaran hutan) jenis bencana di desa = 1;Identifikasi 1 Jenis bencana (longsor, banjir, kebakaran hutan) untuk penanganan pencegahan
;;;;;;;;;Jumlah peserta BPJS/jumlah penduduk antara 0,26 s.d 0,5;Fasilitasi kepesertaan BPJS warga Desa hingga > 75%
;;;;;;;;;Jumlah bank dan BPR = 0;Fasilitasi Pembangunan Bank Pemerintah, Swasta &/ BPR
;;;;;;;;;Jumlah fasilitas kredit = 0;Penambahan 4 jenis Fasilitas Kredit (KUR/KKPE/KUK/Kredit lainnya)
;;;;;;;;;Transportasi Umum tidak ada;Fasilitasi Pengadaan Transportasi Umum dengan Trayek Tetap
;;;;;;;;;Pencemaran (air, udara, tanah, limbah disungai) di desa [jumlah pencemaran/4] = 1;Identifikasi dan Penanganan 4 Jenis Pencemaran (air, udara, tanah, limbah disungai) di desa
;;;;;;;;;Fasilitas mitigasi/tanggap bencana (peringatan dini bencana alam, peringatan dini tsunami, perlengkapan keselamatan, jalur evakuasi) jumlah fasilitas mitigasi / tanggap bencana = 1;Pembangunan/Pengadaan 2 Fasilitas Mitigasi Bencana Sesuai karakteristik wilayah (Kebutuhan sesuai hasil identifikasi kerawanan/potensi bencana)
;;;;;;;;;Jumlah PKBM atau Paket ABC Tidak ada;Pelaksanaan Kegiatan PKBM/Kejar Paket A B C
;;;;;;;;;Ruang Publik tidak terdapat didesa;Pembangunan Ruang Publik
;;;;;;;;;Jumlah Pusat Keterampilan atau Kursus Tidak ada;Pengadaan Tempat Kursus/Pelatihan
;;;;;;;;;Jumlah kegiatan olahraga tidak ada;Pembangunan Lapangan Olah Raga Min 8 Unit
;;;;;;;;;Terdapat atau ada Konflik di Desa;Identifikasi dan Penanganan Konflik
;;;;;;;;;Jumlah PMKS ada 1 ;Identifikasi dan Penanganan PMKS
;;;;;;;;;Jumlah Skor SLB antara 4 s.d 5;Penanganan SLB
;;;;;;;;;(Jumlah Keluarga Memakai listrik + non Listrik/Jumlah keluarga memakai listrik) antara 0,8 s.d 0,89;Fasilitasi Akses Listrik warga hingga >90 % dari jumlah KK
;;;;;;;;;Jarak ke kelompok pertokoan terdekat > 25 KM;Pembangunan Pusat pertokoan melalui kerjasama antar desa/melayani beberapa desa
;;;;;;;;;(Total KK/jumlah pasar(permanen)) = 0;Pembangunan Pasar Permanen
;;;;;;;;;Jumlah kelompok kegiatan olahraga tidak ada;Penambahan minila 8 kel OR
SIDOARJO;JABON;SEMAMBUNG;0.7029;0.5833;0.6;0.6287;BERKEMBANG;MAJU;Jumlah PKBM atau Paket ABC Tidak ada;Pelaksanaan Kegiatan PKBM/Kejar Paket A B C
;;;;;;;;;Jumlah Pusat Keterampilan atau Kursus Tidak ada;Pengadaan Tempat Kursus/Pelatihan
;;;;;;;;;Jarak tempuh menuju Poskesdes > 3500 Meter;Pembangunan Poskesdes
